,100,110,120,130,140,150,160,170,180,190
1,ura3_LP17_0mM_CuSO4,ura3_LP17_0.7mM_CuSO4,ura3_LP17_2mM_CuSO4,ura3_LP18_0.5mM_CuSO4,ura3_LP18_1mM_CuSO4,ura3_LP19_0mM_CuSO4,ura3_LP19_0.85mM_CuSO4,ura3_LP19_5mM_CuSO4,ura3_LP20_0.5mM_CuSO4,ura3_LP20_2mM_CuSO4
2,ura3_LP17_0mM_CuSO4,ura3_LP17_0.7mM_CuSO4,ura3_LP17_5mM_CuSO4,ura3_LP18_0.5mM_CuSO4,ura3_LP18_1mM_CuSO4,ura3_LP19_0.1mM_CuSO4,ura3_LP19_0.85mM_CuSO4,ura3_LP19_5mM_CuSO4,ura3_LP20_0.7mM_CuSO4,ura3_LP20_2mM_CuSO4
3,ura3_LP17_0mM_CuSO4,ura3_LP17_0.85mM_CuSO4,ura3_LP17_5mM_CuSO4,ura3_LP18_0.5mM_CuSO4,ura3_LP18_2mM_CuSO4,ura3_LP19_0.1mM_CuSO4,ura3_LP19_0.85mM_CuSO4,ura3_LP20_0mM_CuSO4,ura3_LP20_0.7mM_CuSO4,ura3_LP20_2mM_CuSO4
4,ura3_LP17_0.1mM_CuSO4,ura3_LP17_0.85mM_CuSO4,ura3_LP17_5mM_CuSO4,ura3_LP18_0.7mM_CuSO4,ura3_LP18_2mM_CuSO4,ura3_LP19_0.1mM_CuSO4,ura3_LP19_1mM_CuSO4,ura3_LP20_0mM_CuSO4,ura3_LP20_0.7mM_CuSO4,ura3_LP20_5mM_CuSO4
5,ura3_LP17_0.1mM_CuSO4,ura3_LP17_0.85mM_CuSO4,ura3_LP18_0mM_CuSO4,ura3_LP18_0.7mM_CuSO4,ura3_LP18_2mM_CuSO4,ura3_LP19_0.5mM_CuSO4,ura3_LP19_1mM_CuSO4,ura3_LP20_0mM_CuSO4,ura3_LP20_0.85mM_CuSO4,ura3_LP20_5mM_CuSO4
6,ura3_LP17_0.1mM_CuSO4,ura3_LP17_1mM_CuSO4,ura3_LP18_0mM_CuSO4,ura3_LP18_0.7mM_CuSO4,ura3_LP18_5mM_CuSO4,ura3_LP19_0.5mM_CuSO4,ura3_LP19_1mM_CuSO4,ura3_LP20_0.1mM_CuSO4,ura3_LP20_0.85mM_CuSO4,ura3_LP20_5mM_CuSO4
7,ura3_LP17_0.5mM_CuSO4,ura3_LP17_1mM_CuSO4,ura3_LP18_0mM_CuSO4,ura3_LP18_0.85mM_CuSO4,ura3_LP18_5mM_CuSO4,ura3_LP19_0.5mM_CuSO4,ura3_LP19_2mM_CuSO4,ura3_LP20_0.1mM_CuSO4,ura3_LP20_0.85mM_CuSO4,CM+uracil+mev
8,ura3_LP17_0.5mM_CuSO4,ura3_LP17_1mM_CuSO4,ura3_LP18_0.1mM_CuSO4,ura3_LP18_0.85mM_CuSO4,ura3_LP18_5mM_CuSO4,ura3_LP19_0.7mM_CuSO4,ura3_LP19_2mM_CuSO4,ura3_LP20_0.1mM_CuSO4,ura3_LP20_1mM_CuSO4,CM+uracil+mev
9,ura3_LP17_0.5mM_CuSO4,ura3_LP17_2mM_CuSO4,ura3_LP18_0.1mM_CuSO4,ura3_LP18_0.85mM_CuSO4,ura3_LP19_0mM_CuSO4,ura3_LP19_0.7mM_CuSO4,ura3_LP19_2mM_CuSO4,ura3_LP20_0.5mM_CuSO4,ura3_LP20_1mM_CuSO4,CM+uracil+mev
10,ura3_LP17_0.7mM_CuSO4,ura3_LP17_2mM_CuSO4,ura3_LP18_0.1mM_CuSO4,ura3_LP18_1mM_CuSO4,ura3_LP19_0mM_CuSO4,ura3_LP19_0.7mM_CuSO4,ura3_LP19_5mM_CuSO4,ura3_LP20_0.5mM_CuSO4,ura3_LP20_1mM_CuSO4,CM+uracil+mev
